,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Poly__degree,param_St_Scaler__copy,param_St_Scaler__with_mean,param_St_Scaler__with_std,param_mdl_clf__C,param_mdl_clf__break_ties,param_mdl_clf__cache_size,param_mdl_clf__class_weight,param_mdl_clf__decision_function_shape,param_mdl_clf__gamma,param_mdl_clf__kernel,param_mdl_clf__max_iter,param_mdl_clf__probability,param_mdl_clf__shrinking,param_mdl_clf__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,1620.0609994411468,42.96892007786225,18.465809106826782,0.560699465985193,2,True,True,True,1.0,True,2000,,ovr,10000000000.0,rbf,500,True,True,1e-09,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 10000000000.0, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-09}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
11,1714.067810201645,37.56568957640027,19.991466283798218,0.8245165892610749,2,True,True,True,1.0,True,2000,,ovr,10000000000.0,rbf,500,True,True,1e-07,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 1.0, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 10000000000.0, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-07}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
12,1495.8502299785614,63.91060760774149,48.08773469924927,5.265077056091409,2,True,True,True,50.5,True,2000,,ovr,1.023292992280754,rbf,500,True,True,1e-13,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 50.5, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 1.023292992280754, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-13}",0.0704443836116434,0.0710831280226298,0.06251140719109327,0.0741011133418507,0.07382734075561234,0.07039347458456591,0.004198647925799286,29
13,1536.3488639354705,40.852456083173855,55.31467638015747,4.721609452877232,2,True,True,True,50.5,True,2000,,ovr,1.023292992280754,rbf,500,True,True,1e-11,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 50.5, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 1.023292992280754, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-11}",0.0704443836116434,0.0710831280226298,0.06251140719109327,0.0741011133418507,0.07382734075561234,0.07039347458456591,0.004198647925799286,29
14,1568.1304424285888,33.31502881207561,53.15920715332031,2.6069757047589106,2,True,True,True,50.5,True,2000,,ovr,1.023292992280754,rbf,500,True,True,1e-09,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 50.5, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 1.023292992280754, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-09}",0.0704443836116434,0.0710831280226298,0.06251140719109327,0.0741011133418507,0.07382734075561234,0.07039347458456591,0.004198647925799286,29
15,1553.5628244876862,37.01193944436347,49.18765616416931,3.745745750255373,2,True,True,True,50.5,True,2000,,ovr,1.023292992280754,rbf,500,True,True,1e-07,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 50.5, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 1.023292992280754, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-07}",0.0704443836116434,0.0710831280226298,0.06251140719109327,0.0741011133418507,0.07382734075561234,0.07039347458456591,0.004198647925799286,29
16,1647.4267171382903,24.096341830307676,18.987086820602418,0.45523187071318333,2,True,True,True,50.5,True,2000,,ovr,101157.94542598983,rbf,500,True,True,1e-13,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 50.5, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 101157.94542598983, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-13}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
17,1636.302791261673,48.36039817676989,18.325295543670656,0.5477347153232676,2,True,True,True,50.5,True,2000,,ovr,101157.94542598983,rbf,500,True,True,1e-11,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 50.5, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 101157.94542598983, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-11}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
18,1643.8641443252563,37.34582232479314,19.687855815887453,1.6167417530868642,2,True,True,True,50.5,True,2000,,ovr,101157.94542598983,rbf,500,True,True,1e-09,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 50.5, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 101157.94542598983, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-09}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
19,1638.2465871810914,40.99639042753502,18.70346269607544,0.7792770266707699,2,True,True,True,50.5,True,2000,,ovr,101157.94542598983,rbf,500,True,True,1e-07,"{'Poly__degree': 2, 'St_Scaler__copy': True, 'St_Scaler__with_mean': True, 'St_Scaler__with_std': True, 'mdl_clf__C': 50.5, 'mdl_clf__break_ties': True, 'mdl_clf__cache_size': 2000, 'mdl_clf__class_weight': None, 'mdl_clf__decision_function_shape': 'ovr', 'mdl_clf__gamma': 101157.94542598983, 'mdl_clf__kernel': 'rbf', 'mdl_clf__max_iter': 500, 'mdl_clf__probability': True, 'mdl_clf__shrinking': True, 'mdl_clf__tol': 1e-07}",0.12647139337530797,0.126288894972169,0.12648293484212447,0.12666544989961673,0.12666544989961673,0.12651482459776697,0.00014094210615477775,1
